cell id,Number,Slice,Date,Sample,Mouse,Mouse date of birth,Mouse age,Mouse gender,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,RNA type,RNA type confidence,RNA type top-3,ALM/VISp top-3,Length (bp),Yield (pg/µl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons
20180828_sample_6,335,20180828_slice_6,2018-08-28,sample 6,mouse_UAOAE,2018-06-11,78,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV+,1374423,389614,78069,4,10805,Pvalb,Pvalb Reln,0.64,"Pvalb Reln (64.4%), Pvalb Il1rapl2 (26.7%), Pvalb Kank4 (5.6%)",Pvalb Reln Itm2a (100.0%),1869,420.64,Fede,53.0,443.3,167.2,598.6,1652.136,y,0
20180828_sample_7,336,20180828_slice_7,2018-08-28,sample 7,mouse_UAOAE,2018-06-11,78,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV-,212543,82313,78972,4,1641,low quality,0,0.0,0,0,1521,70.02,Fede,20.0,204.9,75.0,565.6,1561.056,y,0
20180829_sample_2,339,20180829_slice_2,2018-08-29,sample 2,mouse_PSDCQ,2018-06-19,71,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,1789701,555389,121565,4,12400,Sst,Sst Calb2,1.0,Sst Calb2 (99.6%),Sst Calb2 Pdlim5 (100.0%),1845,537.77,Fede,40.0,286.7,108.7,578.6,1596.936,y,0
20180829_sample_6,343,20180829_slice_6,2018-08-29,sample 6,mouse_PSDCQ,2018-06-19,71,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,956463,420302,83599,4,9081,Sst,Sst Calb2,1.0,Sst Calb2 (100.0%),Sst Calb2 Pdlim5 (100.0%),1805,191.61,Fede,56.0,224.4,80.6,611.7,1688.292,y,0
20180829_sample_7,344,20180829_slice_7,2018-08-29,sample 7,mouse_PSDCQ,2018-06-19,71,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,999433,601619,85275,4,9315,Sst,Sst Calb2,0.9,"Sst Calb2 (90.3%), Sst Hpse (8.6%)",Sst Calb2 Pdlim5 (100.0%),1680,315.46,Fede,60.0,286.7,102.6,603.3,1665.108,y,0
20180829_sample_8,345,20180829_slice_8,2018-08-29,sample 8,mouse_PSDCQ,2018-06-19,71,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST-,1102299,1223036,174836,4,10780,IT,L2/3 IT_3,0.76,"L2/3 IT_3 (76.3%), L2/3 IT_2 (19.6%)","L2/3 IT VISp Rrad (94.0%), L2/3 IT VISp Agmat (6.0%)",1781,314.86,Fede,20.0,173.7,63.7,605.7,1671.732,y,0
20180830_sample_1,346,20180830_slice_1,2018-08-30,sample 1,mouse_QLNUF,2018-06-11,80,M,Pvalb-Cre/wt; Ai9/wt,2/3,5,PV+,614977,40501,43174,4,3890,Pvalb,Pvalb Reln,0.61,"Pvalb Reln (61.3%), Pvalb Gpr149 (14.3%), Pvalb Kank4 (12.7%)","Pvalb Reln Itm2a (82.0%), Pvalb Gpr149 Islr (9.0%), Pvalb Vipr2 (4.0%)",1519,168.47,Fede,45.0,499.9,172.2,528.3,1458.108,y,0
20180904_sample_2,351,20180904_slice_2,2018-09-04,sample 2,mouse_CIEXQ,2018-06-11,85,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV+,946451,1145620,160856,4,10225,Pvalb,Pvalb Il1rapl2,0.6,"Pvalb Il1rapl2 (60.1%), Pvalb Reln (38.1%)","Pvalb Reln Itm2a (92.0%), Pvalb Tpbg (8.0%)",1852,358.02,Matteo,59.0,223.3,83.0,537.9,1484.604,y,0
20180904_sample_3,352,20180904_slice_3,2018-09-04,sample 3,mouse_CIEXQ,2018-06-11,85,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,2003202,553017,92287,4,11838,Pvalb,Pvalb Reln,0.85,"Pvalb Reln (85.3%), Pvalb Kank4 (12.7%)",Pvalb Reln Itm2a (100.0%),2214,561.93,Fede,39.0,536.6,191.8,569.6,1572.096,y,0
20180904_sample_4,353,20180904_slice_4,2018-09-04,sample 4,mouse_CIEXQ,2018-06-11,85,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1465484,1161437,169739,4,11479,Pvalb,Pvalb Kank4,0.8,"Pvalb Kank4 (80.3%), Pvalb Reln (8.9%), Pvalb Calb1_2 (8.1%)",Pvalb Sema3e Kank4 (95.0%),2177,355.24,Matteo,50.0,865.5,312.8,586.2,1617.912,y,0
20180904_sample_5,354,20180904_slice_5,2018-09-04,sample 5,mouse_CIEXQ,2018-06-11,85,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1360247,1071645,116002,4,11519,Pvalb,Pvalb Il1rapl2,0.78,"Pvalb Il1rapl2 (77.6%), Pvalb Reln (17.0%), Pvalb Gpr149 (3.1%)","Pvalb Reln Itm2a (57.0%), Pvalb Tpbg (42.0%)",2204,365.54,Fede,46.0,499.5,181.9,561.0,1548.36,y,0
20180904_sample_7,356,20180904_slice_7,2018-09-04,sample 7,mouse_CIEXQ,2018-06-11,85,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV+,1912506,1856816,203934,4,10138,Pvalb,Pvalb Il1rapl2,0.96,Pvalb Il1rapl2 (95.9%),Pvalb Tpbg (100.0%),2310,202.7,Fede,45.0,218.9,77.2,514.0,1418.64,y,0
20180904_sample_9,357,20180904_slice_9,2018-09-04,sample 9,mouse_CIEXQ,2018-06-11,85,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV+,1910213,721809,115216,4,10904,Pvalb,Pvalb Il1rapl2,0.92,"Pvalb Il1rapl2 (91.9%), Pvalb Reln (6.3%)",Pvalb Tpbg (99.0%),2056,226.14,Fede,44.0,397.1,142.8,638.8,1763.088,y,0
20180905_sample_2,359,20180905_slice_2,2018-09-05,sample 2,mouse_NUCAT,2018-06-18,79,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,1228399,562532,114283,4,8362,Sst,Sst Calb2,0.73,"Sst Calb2 (72.7%), Sst Hpse (25.3%)","Sst Calb2 Pdlim5 (84.0%), Sst Hpse Cbln4 (16.0%)",1717,157.52,Matteo,45.0,330.8,118.3,555.1,1532.076,y,0
20180911_sample_3,364,20180911_slice_3,2018-09-11,sample 3,mouse_YJVZC,2018-06-18,85,M,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,1712397,1279573,221339,4,10535,Sst,Sst Calb2,1.0,Sst Calb2 (100.0%),Sst Calb2 Pdlim5 (100.0%),2100,307.33,Fede,48.0,191.6,66.0,547.2,1510.272,y,0
20180911_sample_6,366,20180911_slice_6,2018-09-11,sample 6,mouse_YJVZC,2018-06-18,85,M,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,1333729,52200,70880,4,4902,Sst,Sst Tac2,0.69,"Sst Tac2 (69.3%), Sst C1ql3_2 (19.3%), Sst Myh8_1 (7.4%)",Sst Tac2 Tacstd2 (99.0%),1610,135.51,Matteo,60.0,760.1,271.5,523.6,1445.136,y,0
20180912_sample_2,367,20180912_slice_2,2018-09-12,sample 2,mouse_HNXRO,2018-06-29,75,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV+,1412570,1904139,221448,4,10744,Pvalb,Pvalb Il1rapl2,0.99,Pvalb Il1rapl2 (99.3%),Pvalb Tpbg (100.0%),1752,210.94,Fede,59.0,207.5,77.4,612.3,1689.948,y,0
20180918_sample_1,376,20180918_slice_1,2018-09-18,sample 1,mouse_KVPGJ,2018-04-12,159,M,Vip-IRES-Cre/wt; Ai9/wt,2/3,2/3,VIP+,1079038,625795,88174,4,8438,Vip,Vip Mybpc1_3,0.95,Vip Mybpc1_3 (95.1%),Vip Lect1 Oxtr (99.0%),1567,308.03,Matteo,48.0,244.2,90.7,515.0,1421.4,y,0
20180918_sample_2,377,20180918_slice_2,2018-09-18,sample 2,mouse_KVPGJ,2018-04-12,159,M,Vip-IRES-Cre/wt; Ai9/wt,2/3,2/3,VIP+,2962987,1478627,197610,4,8244,Vip,Vip Mybpc1_3,0.95,"Vip Mybpc1_3 (94.6%), Vip Mybpc1_2 (5.3%)",Vip Lect1 Oxtr (100.0%),2048,143.24,Matteo,45.0,214.5,77.1,506.0,1396.56,y,0
20180920_sample_2,380,20180920_slice_2,2018-09-20,sample 2,mouse_WZCRY,2018-06-29,83,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1037571,39269,47159,4,4204,Pvalb,Pvalb Calb1_2,0.35,"Pvalb Calb1_2 (34.6%), Pvalb Reln (30.1%), Pvalb Kank4 (17.1%)","Pvalb Reln Tac1 (64.0%), Pvalb Reln Itm2a (28.0%), Pvalb Tpbg (5.0%)",1898,50.82,Matteo,42.0,797.1,296.2,556.2,1535.112,y,0
20180920_sample_4,382,20180920_slice_4,2018-09-20,sample 4,mouse_WZCRY,2018-06-29,83,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,386638,17328,37767,4,4295,Pvalb,Pvalb Reln,0.65,"Pvalb Reln (64.7%), Pvalb Kank4 (25.1%), Pvalb Gpr149 (9.0%)",Pvalb Reln Itm2a (97.0%),2270,23.57,Matteo,45.0,893.5,325.0,485.1,1338.876,y,0
20180921_sample_3,385,20180921_slice_3,2018-09-21,sample 3,mouse_XMZGY,2018-06-19,94,M,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,158887,154597,19638,4,9042,Pvalb,Pvalb Gpr149,0.9,"Pvalb Gpr149 (90.1%), Pvalb Calb1_2 (6.9%)",Pvalb Gpr149 Islr (100.0%),2070,310.83,Matteo,38.0,878.1,320.5,533.8,1473.288,y,0
20180925_sample_9,386,20180925_slice_9,2018-09-25,sample 9,mouse_DMTAH,2018-06-27,90,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,2518015,1934549,385104,5,11330,Pvalb,Pvalb Calb1_2,0.63,"Pvalb Calb1_2 (63.1%), Pvalb Gpr149 (32.0%)","Pvalb Reln Tac1 (59.0%), Pvalb Gpr149 Islr (40.0%)",1551,172.4,Fede,50.0,777.4,280.9,508.5,1403.46,y,0
20180926_sample_1,387,20180926_slice_1,2018-09-26,Sample 1,mouse_NPNLS,2018-08-08,49,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,712620,978234,130042,5,11549,Pvalb,Pvalb Il1rapl2,0.83,"Pvalb Il1rapl2 (82.7%), Pvalb Reln (16.0%)","Pvalb Reln Itm2a (84.0%), Pvalb Tpbg (14.0%)",2124,927.87,Fede,49.0,665.4,237.5,577.3,1593.348,y,0
20180926_sample_3,388,20180926_slice_3,2018-09-26,Sample 3,mouse_NPNLS,2018-08-08,49,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,93232,65583,11377,5,5975,Pvalb,Pvalb Reln,0.98,Pvalb Reln (98.1%),Pvalb Reln Itm2a (98.0%),1716,194.68,Fede,50.0,488.9,176.0,493.7,1362.612,y,0
20180926_sample_7,390,20180926_slice_7,2018-09-26,Sample 7,mouse_NPNLS,2018-08-08,49,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,352813,17436,22206,5,5432,Pvalb,Pvalb Il1rapl2,0.39,"Pvalb Il1rapl2 (39.3%), Pvalb Reln (34.6%), Pvalb Kank4 (12.4%)","Pvalb Reln Itm2a (70.0%), Pvalb Tpbg (30.0%)",1607,216.52,Fede,49.0,530.3,190.7,608.0,1678.08,y,0
20180926_sample_9,391,20180926_slice_9,2018-09-26,Sample 9,mouse_NPNLS,2018-08-08,49,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV-,3347563,78980,110959,5,11521,IT,L2/3 IT_3,0.87,"L2/3 IT_3 (87.3%), L2/3 IT_2 (6.6%), L4/5 IT_2 (1.3%)","L2/3 IT ALM Macc1 Lrg1 (78.0%), L2/3 IT VISp Agmat (18.0%)",1814,760.37,Fede,52.0,338.3,116.4,625.7,1726.932,y,0
20181002_sample_10,409,20181002_slice_10,2018-10-02,Sample 10,mouse_VSYZV,2018-08-08,55,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,3303231,827201,188189,5,11670,Pvalb,Pvalb Reln,0.98,Pvalb Reln (97.9%),Pvalb Reln Itm2a (100.0%),2140,343.88,Fede,40.0,522.2,197.0,586.7,1619.292,y,0
20181003_sample_8,417,20181003_slice_8,2018-10-03,Sample 8,mouse_ZZVQT,2018-08-01,63,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,1247204,418502,98018,5,4174,Sst,Sst Hpse,0.47,"Sst Hpse (46.6%), Sst Chodl (18.4%), Sst Calb2 (16.7%)","Sst Hpse Cbln4 (71.0%), Sst Hpse Sema3c (22.0%), Sst Chodl (6.0%)",1812,286.28,Matteo,55.0,507.3,183.7,614.8,1696.848,y,0
20181004_sample_5,422,20181004_slice_5,2018-10-04,Sample 5,mouse_JFOVK,2018-08-01,64,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,1272771,895193,236468,5,11188,Sst,Sst Pvalb Calb2,0.88,"Sst Pvalb Calb2 (88.0%), Sst Calb2 (10.7%)","Sst Calb2 Pdlim5 (70.0%), Sst Calb2 Necab1 (13.0%), Sst Tac1 Htr1d (12.0%)",1519,181.87,Fede,55.0,512,197.0,603.6,1665.936,y,0
20181004_sample_8,424,20181004_slice_8,2018-10-04,Sample 8,mouse_JFOVK,2018-08-01,64,F,Sst-IRES-Cre/wt; Ai9/wt,5,2/3,SST+,1218474,679192,133950,5,11550,Sst,Sst Pvalb Calb2,0.69,"Sst Pvalb Calb2 (69.4%), Pvalb Calb1_1 (15.4%), Pvalb Il1rapl2 (10.6%)","Pvalb Tpbg (50.0%), Sst Tac1 Htr1d (38.0%), Sst Tac1 Tacr3 (7.0%)",1501,249.02,Matteo,37.0,395.2,143.9,577.2,1593.072,y,0
20181009_sample_3,426,20181009_slice_3,2018-10-09,Sample 3,mouse_EAHUL,2018-06-19,112,M,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,580689,208818,47657,5,7833,Sst,Sst Calb2,0.86,"Sst Calb2 (86.1%), Sst Hpse (12.6%)","Sst Calb2 Pdlim5 (94.0%), Sst Hpse Cbln4 (6.0%)",1926,211.86,Fede,45.0,373.5,129.5,595.2,1642.752,y,0
20181009_sample_5,428,20181009_slice_5,2018-10-09,Sample 5,mouse_EAHUL,2018-06-19,112,M,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,1296859,1289722,187999,5,10468,Sst,Sst Calb2,0.99,Sst Calb2 (98.9%),"Sst Calb2 Pdlim5 (94.0%), Sst Calb2 Necab1 (5.0%)",2199,194,Fede,40.0,297.5,105.3,532.8,1470.528,y,0
20181009_sample_7,430,20181009_slice_7,2018-10-09,Sample 7,mouse_EAHUL,2018-06-19,112,M,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,7825,473,648,5,2181,Sst,Sst Calb2,0.35,"Sst Calb2 (34.9%), Sst Chodl (32.0%), Sst Hpse (13.1%)","Sst Hpse Sema3c (47.0%), Sst Calb2 Pdlim5 (25.0%), Sst Chodl (24.0%)",1810,93.56,Fede,40.0,389.7,144.8,556.4,1535.664,y,0
20181010_sample_5,434,20181010_slice_5,2018-10-10,Sample 5,mouse_LEGDF,2018-07-16,86,M,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST-,2823661,593902,126155,5,9289,IT,L2/3 IT_3,0.54,"L2/3 IT_3 (54.3%), L2/3 IT_1 (23.9%), L2/3 IT_2 (16.3%)","L2/3 IT VISp Adamts2 (70.0%), L2/3 IT VISp Rrad (22.0%), L2/3 IT VISp Agmat (6.0%)",1867,628.43,Fede,15.0,129.9,47.1,516.7,1426.092,y,0
20181011_sample_3,438,20181011_slice_3,2018-10-11,Sample 3,mouse_MTOCW,2018-07-16,87,M,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,864680,836318,130255,5,11007,Sst,Sst Pvalb Calb2,0.92,"Sst Pvalb Calb2 (91.7%), Pvalb Il1rapl2 (8.1%)","Sst Tac1 Htr1d (93.0%), Sst Tac1 Tacr3 (6.0%)",1772,291.88,Fede,45.0,351.9,127.8,579.6,1599.696,y,0
20181109_sample_5,446,20181109_slice_2,2018-11-09,Sample 5,mouse_JSQXS,2018-08-30,71,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,585665,538553,75319,5,7710,Sst,Sst Hpse,0.89,"Sst Hpse (88.7%), Sst Htr1a (9.7%)","Sst Hpse Cbln4 (71.0%), Sst Hpse Sema3c (29.0%)",2184,233,Matteo,15.0,466.1,172.0,555.6,1533.456,y,0
20181109_sample_7,447,20181109_slice_3,2018-11-09,Sample 7,mouse_JSQXS,2018-08-30,71,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,550580,624734,72651,5,6046,Sst,Sst Calb2,0.91,"Sst Calb2 (91.0%), Sst Hpse (3.0%), Sst Myh8_1 (1.6%)",Sst Calb2 Pdlim5 (97.0%),2270,213.19,Matteo,15.0,464.5,161.2,544.2,1501.992,y,0
20181112_sample_6,454,20181112_slice_3,2018-11-12,Sample 6,mouse_ZWZEZ,2018-10-08,35,M,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,244,42,29,5,9428,Sst,Sst Crhr2_1,0.49,"Sst Crhr2_1 (49.4%), Sst Crhr2_2 (43.6%), Sst Myh8_1 (3.4%)","Sst Rxfp1 Eya1 (53.0%), Sst Crh 4930553C11Rik  (47.0%)",1973,693.61,Matteo,22.0,731.2,262.0,528.3,1458.108,y,0
20181112_sample_8,455,20181112_slice_4,2018-11-12,Sample 8,mouse_ZWZEZ,2018-10-08,35,M,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,214417,34005,10773,5,7336,Sst,Sst Pvalb Etv1,0.72,"Sst Pvalb Etv1 (71.7%), Sst Etv1 (11.6%), Sst Pvalb Calb2 (11.1%)",Sst Nr2f2 Necab1 (99.0%),1592,650.44,Matteo,25.0,651.7,234.7,568.3,1568.508,y,0
20181116_sample_5,463,20181116_slice_5,2018-11-16,Sample 5,mouse_AZZAO,2018-08-31,77,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,768717,99593,87835,6,5437,Pvalb,Pvalb Reln,0.69,"Pvalb Reln (69.1%), Pvalb Kank4 (13.7%), Pvalb Il1rapl2 (7.6%)",Pvalb Reln Itm2a (98.0%),1580,91.66,Fede,46.0,453.3,163.0,562.2,1551.672,y,0
20181121_sample_6,472,20181121_slice_3,2018-11-21,Sample 6,mouse_BVPYH,2018-08-30,83,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,142610,127663,16550,5,8012,Sst,Sst Pvalb Calb2,0.81,"Sst Pvalb Calb2 (81.4%), Pvalb Calb1_1 (14.0%)","Sst Mme Fam114a1 (70.0%), Sst Tac1 Tacr3 (20.0%), Sst Tac1 Htr1d (10.0%)",2278,250.38,Matteo,50.0,640.2,239.0,461.5,1273.74,y,0
20181127_sample_3,477,20181127_slice_2,2018-11-27,Sample 3,mouse_EVWCL,2018-08-30,89,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,173493,157845,22698,5,6570,Sst,Sst Calb2,0.99,Sst Calb2 (98.9%),Sst Calb2 Pdlim5 (100.0%),1514,532.38,Matteo,35.0,166.1,57.0,507.8,1401.528,y,0
20181127_sample_5,479,20181127_slice_3,2018-11-27,Sample 5,mouse_EVWCL,2018-08-30,89,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,7093,6346,1095,5,3594,Sst,Sst Calb2,0.62,"Sst Calb2 (62.1%), Sst Hpse (27.7%), Sst Pappa (3.3%)","Sst Hpse Cbln4 (46.0%), Sst Hpse Sema3c (30.0%), Sst Calb2 Pdlim5 (23.0%)",1901,481.96,Matteo,20.0,337,124.9,488.9,1349.364,y,0
20181127_sample_7,480,20181127_slice_4,2018-11-27,Sample 7,mouse_EVWCL,2018-08-30,89,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST+,141603,174644,30475,5,7970,Sst,Sst Chodl,1.0,Sst Chodl (100.0%),Sst Chodl (100.0%),1855,499.7,Matteo,20.0,237.2,86.4,496.7,1370.892,y,0
20190108_sample_1,532,20190108_slice_1,2019-01-08,Sample 1,mouse_PXPWB,2018-09-13,117,M,Vip-IRES-Cre/wt; Ai9/wt,2/3,2/3,VIP-,1939817,2403947,279249,6,13610,Pvalb,Pvalb Il1rapl2,0.92,"Pvalb Il1rapl2 (91.6%), Pvalb Reln (7.1%)",Pvalb Tpbg (95.0%),2152,440.33,Fede,37.0,238.7,86.9,598.6,1652.136,y,0
20190108_sample_3,534,20190108_slice_3,2019-01-08,Sample 3,mouse_PXPWB,2018-09-13,117,M,Vip-IRES-Cre/wt; Ai9/wt,2/3,2/3,VIP-,1438729,1516836,184366,6,9140,IT,L2/3 IT_3,0.78,"L2/3 IT_3 (77.6%), L2/3 IT_2 (7.1%), L6 IT_2 (4.6%)","L2/3 IT VISp Agmat (38.0%), L2/3 IT VISp Rrad (35.0%), L2/3 IT ALM Ptrf (26.0%)",2178,95.62,Fede,10.0,160.9,60.0,563.5,1555.26,y,0
20190108_sample_5,535,20190108_slice_5,2019-01-08,Sample 5,mouse_PXPWB,2018-09-13,117,M,Vip-IRES-Cre/wt; Ai9/wt,2/3,2/3,VIP+,3298061,1859151,265954,6,13044,Vip,Vip Mybpc1_3,0.6,"Vip Mybpc1_3 (59.7%), Vip Chat_1 (37.0%)",Vip Ptprt Pkp2 (97.0%),1910,422.8,Fede,30.0,221.1,79.8,589.3,1626.468,y,0
20190110_sample_4,540,20190110_slice_3,2019-01-10,Sample 4,mouse_CAASK,2018-10-08,94,F,Sst-IRES-Cre/wt; Ai9/wt,5,5,SST+,4899584,1923650,346780,6,15288,Sst,Sst C1ql3_2,0.33,"Sst C1ql3_2 (32.9%), Sst C1ql3_1 (23.3%), Sst Tac2 (20.7%)","Sst Rxfp1 Prdm8 (91.0%), Sst Tac2 Tacstd2 (9.0%)",2351,811.45,Fede,46.0,878.3,322.4,529.9,1462.524,y,0
20190110_sample_7,542,20190110_slice_6,2019-01-10,Sample 7,mouse_CAASK,2018-10-08,94,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST-,2883192,1846486,418981,6,11737,IT,L2/3 IT_3,0.79,"L2/3 IT_3 (78.7%), L4/5 IT_1 (15.3%), L5 IT_3 (4.4%)","L2/3 IT VISp Agmat (93.0%), L4 IT VISp Rspo1 (4.0%)",1767,302.17,Fede,12.0,401.7,147.5,537.9,1484.604,y,0
20190117_sample_1,543,20190117_slice_1,2019-01-17,Sample 1,mouse_ELCAA,2018-10-08,101,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST-,1887710,1284071,175292,6,10166,Vip,Vip Mybpc1_2,1.0,Vip Mybpc1_2 (99.7%),Vip Crispld2 Kcne4 (100.0%),2360,289.81,Fede,38.0,255.6,91.6,557.6,1538.976,y,0
20190117_sample_2,544,20190117_slice_2,2019-01-17,Sample 2,mouse_ELCAA,2018-10-08,101,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,5,SST-,2552624,2035124,268417,6,12664,IT,L4/5 IT_2,0.87,"L4/5 IT_2 (86.9%), L4/5 IT_1 (10.1%)","L5 IT ALM Lypd1 Gpr88 (71.0%), L5 IT ALM Cbln4 Fezf2 (29.0%)",2177,394.63,Fede,26.0,445.5,157.7,537.0,1482.12,y,0
20190117_sample_4,546,20190117_slice_4,2019-01-17,Sample 4,mouse_ELCAA,2018-10-08,101,F,Sst-IRES-Cre/wt; Ai9/wt,2/3,2/3,SST-,2278760,1322265,257873,6,10108,IT,L4/5 IT_1,0.71,"L4/5 IT_1 (70.9%), L5 IT_3 (22.4%), L2/3 IT_3 (5.6%)","L5 IT ALM Npw (40.0%), L5 IT ALM Pld5 (35.0%), L4 IT VISp Rspo1 (23.0%)",2093,158.45,Fede,36.0,339.3,121.4,485.5,1339.98,y,0
20190122_sample_1,548,20190122_slice_1,2019-01-22,Sample 1,mouse_HJKLM,2018-11-18,65,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,2582215,2815371,282046,6,13281,Pvalb,Pvalb Kank4,0.73,"Pvalb Kank4 (73.3%), Pvalb Calb1_2 (11.3%), Pvalb Reln (8.3%)",Pvalb Sema3e Kank4 (96.0%),2300,471.2,Fede,52.0,882.1,305.7,570.3,1574.028,y,0
20190122_sample_2,549,20190122_slice_2,2019-01-22,Sample 2,mouse_HJKLM,2018-11-18,65,F,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV-,1724998,150653,204669,6,12720,IT,L2/3 IT_3,0.88,"L2/3 IT_3 (88.4%), L2/3 IT_2 (11.4%)","L2/3 IT VISp Agmat (73.0%), L2/3 IT VISp Rrad (26.0%)",2026,503.95,Fede,15.0,269.9,92.8,537.1,1482.396,y,0
20190122_sample_3,550,20190122_slice_3,2019-01-22,Sample 3,mouse_HJKLM,2018-11-18,65,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1707479,616337,251788,6,10371,Pvalb,Pvalb Calb1_2,0.64,"Pvalb Calb1_2 (64.4%), Pvalb Reln (23.6%), Pvalb Gpr149 (8.9%)","Pvalb Reln Tac1 (62.0%), Pvalb Reln Itm2a (21.0%), Pvalb Gpr149 Islr (10.0%)",1783,332.01,Fede,40.0,773.8,277.2,589.8,1627.848,y,0
20190122_sample_5,551,20190122_slice_5,2019-01-22,Sample 5,mouse_HJKLM,2018-11-18,65,F,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV+,385210,72283,73597,6,10290,Pvalb,Pvalb Il1rapl2,0.69,"Pvalb Il1rapl2 (68.6%), Pvalb Reln (28.4%)","Pvalb Reln Itm2a (70.0%), Pvalb Tpbg (28.0%)",2157,195.7,Fede,40.0,302.4,107.7,570.1,1573.476,y,0
20190122_sample_6,552,20190122_slice_6,2019-01-22,Sample 6,mouse_HJKLM,2018-11-18,65,F,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV-,1407688,1437559,148704,6,13470,IT,L2/3 IT_3,0.48,"L2/3 IT_3 (47.9%), L2/3 IT_1 (26.1%), L2/3 IT_2 (23.4%)","L2/3 IT VISp Rrad (74.0%), L2/3 IT ALM Sla (17.0%), L2/3 IT VISp Agmat (5.0%)",1931,416.02,Fede,40.0,161.9,61.5,554.4,1530.144,y,0
20190122_sample_9,553,20190122_slice_9,2019-01-22,Sample 9,mouse_LNBSR,2018-11-18,65,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1064519,1883278,207034,6,11127,Pvalb,Pvalb Reln,0.86,"Pvalb Reln (86.1%), Pvalb Calb1_2 (7.4%), Pvalb Il1rapl2 (4.3%)","Pvalb Reln Itm2a (62.0%), Pvalb Reln Tac1 (34.0%)",1942,302.39,Fede,30.0,545.7,200.5,531.9,1468.044,y,0
20190122_sample_14,558,20190122_slice_14,2019-01-22,Sample 14,mouse_LNBSR,2018-11-18,65,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,1676380,1582864,163730,6,11832,Pvalb,Pvalb Reln,0.51,"Pvalb Reln (50.6%), Pvalb Il1rapl2 (22.7%), Pvalb Calb1_2 (19.3%)","Pvalb Reln Itm2a (84.0%), Pvalb Reln Tac1 (9.0%), Pvalb Tpbg (4.0%)",2494,361.04,Matteo,60.0,688.4,249.5,517.2,1427.472,y,0
